2000_american_leagueteam_standings,year,league,2001_american_leagueteam_standings,2002_american_leagueteam_standings,2003_american_leagueteam_standings,2004_american_leagueteam_standings,2005_american_leagueteam_standings,2006_american_league_standings2006_allstar_game_2006_al_team_standings_2006_world_series,2007_american_league_standings2007_allstar_game_2007_al_team_standings_2007_world_series,2008_american_league_player_review2007_2008_hitting_statistics_league_leaders_2009,2009_american_leagueteam_standings,2010_american_league_standings2010_allstar_game_2010_al_team_standings_2010_world_series,2011_american_league_standings2011_allstar_game_2011_team_standings_2011_world_series,2012_american_league_standings2012_allstar_game_2012_team_standings_2012_world_series,2013_american_leagueteam_standings,2014_american_league_team_standings2014_allstar_game_team_standings_2014_world_series,2015_american_leagueteam_standings,2016_american_leagueteam_standings,2017_american_league_team_standings2017_allstar_game_2017_team_standings_2017_world_series,2018_american_league_team_standings2018_allstar_game_2018_team_standings_2018_world_series,2019_american_leagueteam_standings,2020_american_league_team_standings2020_allstar_game_2020_team_standings_2020_world_series,2021_american_league_team_standings2021_allstar_game_2021_team_standings_2021_world_series,2022_american_league_team_standings2022_allstar_game_2022_team_standings_2022_world_series,2023_american_league_team_standings2023_allstar_game_2023_team_standings_2023_world_series,2024_american_league_team_standings2024_allstar_game_2024_team_standings_2024_world_series
,2012,American,,,,,,,,,,,,Seattle Mariners,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,A.L.,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Minnesota Twins,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,West,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Oakland Athletics,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Texas Rangers,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Detroit Tigers,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Chicago White Sox,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Kansas City Royals,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Cleveland Indians,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Baltimore Orioles,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,New York Yankees,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,East,,,,,,,,,,,,
,2012,American,,,,,,,,,,,,Central,,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Baltimore Orioles,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Tampa Bay Rays,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Boston Red Sox,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,East,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Detroit Tigers,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Central,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Toronto Blue Jays,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,New York Yankees,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Cleveland Indians,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Kansas City Royals,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Minnesota Twins,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Chicago White Sox,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:N.L. Leaderboard|Rookies List,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,2013 American League Final Standings,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Houston Astros,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Seattle Mariners,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Los Angeles Angels,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Texas Rangers,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,Oakland Athletics,,,,,,,,,,,
,2013,American,,,,,,,,,,,,,West,,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,East,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Baltimore Orioles,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,New York Yankees,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Toronto Blue Jays,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Houston Astros,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Texas Rangers,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,A.L.,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,2014 American League Final Standings,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Tampa Bay Rays,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Boston Red Sox,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Central,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Detroit Tigers,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Kansas City Royals,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Cleveland Indians,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Chicago White Sox,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Minnesota Twins,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Seattle Mariners,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Oakland Athletics,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,Los Angeles Angels,,,,,,,,,,
,2014,American,,,,,,,,,,,,,,West,,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,West,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Texas Rangers,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Houston Astros,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Los Angeles Angels,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Seattle Mariners,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Oakland Athletics,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,2015 American League Final Standings,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:N.L. Leaderboard|Rookies List,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Detroit Tigers,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Chicago White Sox,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Cleveland Indians,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Minnesota Twins,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Tampa Bay Rays,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Boston Red Sox,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Central,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Kansas City Royals,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,East,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Toronto Blue Jays,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,New York Yankees,,,,,,,,,
,2015,American,,,,,,,,,,,,,,,Baltimore Orioles,,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Los Angeles Angels,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Oakland Athletics,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,2016 American League Final Standings,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:N.L. Leaderboard|Rookies List,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Houston Astros,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Seattle Mariners,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Texas Rangers,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,West,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,East,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Boston Red Sox,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Baltimore Orioles,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Toronto Blue Jays,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,New York Yankees,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Tampa Bay Rays,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Central,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Cleveland Indians,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Detroit Tigers,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Kansas City Royals,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Chicago White Sox,,,,,,,,
,2016,American,,,,,,,,,,,,,,,,Minnesota Twins,,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Minnesota Twins,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Kansas City Royals,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Chicago White Sox,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Detroit Tigers,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,West,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Houston Astros,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Los Angeles Angels,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Seattle Mariners,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Texas Rangers,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Oakland Athletics,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,A.L.,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,2017 American League Final Standings,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Cleveland Indians,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Central,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Baltimore Orioles,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Toronto Blue Jays,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,East,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Boston Red Sox,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,New York Yankees,,,,,,,
,2017,American,,,,,,,,,,,,,,,,,Tampa Bay Rays,,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Kansas City Royals,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Chicago White Sox,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Detroit Tigers,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Minnesota Twins,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,West,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Houston Astros,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Oakland Athletics,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Seattle Mariners,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Los Angeles Angels,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Texas Rangers,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,A.L.,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,2018 American League Final Standings,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,East,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Boston Red Sox,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,New York Yankees,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Tampa Bay Rays,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Toronto Blue Jays,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Baltimore Orioles,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Central,,,,,,
,2018,American,,,,,,,,,,,,,,,,,,Cleveland Indians,,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Minnesota Twins,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Central,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Baltimore Orioles,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Toronto Blue Jays,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Texas Rangers,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Oakland Athletics,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Houston Astros,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,West,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Los Angeles Angels,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Seattle Mariners,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,2019 American League  Standings,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby| World SeriesNavigation:Year in Review Menu|Previous Season| Next SeasonMiscellaneous:N.L. Leaderboard|Rookies List,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Detroit Tigers,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Kansas City Royals,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Chicago White Sox,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Cleveland Indians,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Boston Red Sox,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,Tampa Bay Rays,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,New York Yankees,,,,,
,2019,American,,,,,,,,,,,,,,,,,,,East,,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Chicago White Sox,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Cleveland Indians,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Kansas City Royals,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Detroit Tigers,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Baltimore Orioles,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Boston Red Sox,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Central,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Minnesota Twins,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Los Angeles Angels,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Texas Rangers,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,A.L.,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,2020 American League  Standings,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,West,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Oakland Athletics,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Houston Astros,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Seattle Mariners,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,East,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Tampa Bay Rays,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,New York Yankees,,,,
,2020,American,,,,,,,,,,,,,,,,,,,,Toronto Blue Jays,,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,East,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Tampa Bay Rays,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Boston Red Sox,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,New York Yankees,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Toronto Blue Jays,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Baltimore Orioles,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Central,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Chicago White Sox,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Los Angeles Angels,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Texas Rangers,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,A.L.,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,2021 American League  Standings,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Minnesota Twins,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Kansas City Royals,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Detroit Tigers,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Cleveland Indians,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Oakland Athletics,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Seattle Mariners,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,Houston Astros,,,
,2021,American,,,,,,,,,,,,,,,,,,,,,West,,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,2022 American League Standings,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,A.L.,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Oakland Athletics,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Texas Rangers,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Kansas City Royals,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Detroit Tigers,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Minnesota Twins,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Chicago White Sox,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,East,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,New York Yankees,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Toronto Blue Jays,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Rays,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Cleveland Guardians,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Central,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Boston Red Sox,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Baltimore Orioles,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Los Angeles Angels,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Seattle Mariners,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,Houston Astros,,
,2022,American,,,,,,,,,,,,,,,,,,,,,,West,,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Minnesota Twins,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Central,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Boston Red Sox,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,New York Yankees,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Toronto Blue Jays,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Rays,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Baltimore Orioles,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,East,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Kansas City Royals,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Chicago White Sox,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Cleveland Guardians,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Detroit Tigers,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Angels,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Oakland Athletics,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,A.L.,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,2023 American League Standings,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,West,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Houston Astros,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Texas Rangers,
,2023,American,,,,,,,,,,,,,,,,,,,,,,,Seattle Mariners,
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Kansas City Royals
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Detroit Tigers
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Minnesota Twins
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Chicago White Sox
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Rays
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Toronto Blue Jays
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Central
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Cleveland Guardians
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,East
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,New York Yankees
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Baltimore Orioles
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Boston Red Sox
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Texas Rangers
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Seattle Mariners
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Houston Astros
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,West
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Oakland Athletics
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Angels
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,A.L.
,2024,American,,,,,,,,,,,,,,,,,,,,,,,,2024 American League Standings
